Price,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,AUDUSD=X,EURUSD=X,GBPUSD=X,GOOGL,META,MSFT,USDCAD=X,USDJPY=X,AAPL,AMZN,AUDUSD=X,EURUSD=X,GBPUSD=X,GOOGL,META,MSFT,USDCAD=X,USDJPY=X,AAPL,AMZN,AUDUSD=X,EURUSD=X,GBPUSD=X,GOOGL,META,MSFT,USDCAD=X,USDJPY=X,AAPL,AMZN,AUDUSD=X,EURUSD=X,GBPUSD=X,GOOGL,META,MSFT,USDCAD=X,USDJPY=X,AAPL,AMZN,AUDUSD=X,EURUSD=X,GBPUSD=X,GOOGL,META,MSFT,USDCAD=X,USDJPY=X,AAPL,AMZN,AUDUSD=X,EURUSD=X,GBPUSD=X,GOOGL,META,MSFT,USDCAD=X,USDJPY=X
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-03,179.2736053466797,170.4044952392578,0.7268181443214417,1.1373459100723267,1.3522284030914307,144.82528686523438,337.84576416015625,327.53009033203125,1.2658799886703491,115.14199829101562,182.00999450683594,170.4044952392578,0.7268181443214417,1.1373459100723267,1.3522284030914307,144.9915008544922,338.5400085449219,334.75,1.2658799886703491,115.14199829101562,182.8800048828125,170.70350646972656,0.7279079556465149,1.1375917196273804,1.353179931640625,145.8509979248047,341.0799865722656,338.0,1.277809977531433,115.36000061035156,177.7100067138672,166.16050720214844,0.7185900807380676,1.1285407543182373,1.343273639678955,143.71299743652344,337.19000244140625,329.7799987792969,1.2644000053405762,114.9739990234375,177.8300018310547,167.5500030517578,0.7268498539924622,1.1373846530914307,1.3522284030914307,145.05499267578125,338.29998779296875,335.3500061035156,1.2657099962234497,115.13600158691406,104487900.0,63520000.0,0,0,0,28646000.0,14537900.0,28865100.0,0,0
2022-01-04,176.99832153320312,167.52200317382812,0.7197999358177185,1.1302244663238525,1.3483266830444336,144.2339630126953,335.8398742675781,321.91387939453125,1.275130033493042,115.3280029296875,179.6999969482422,167.52200317382812,0.7197999358177185,1.1302244663238525,1.3483266830444336,144.39950561523438,336.5299987792969,329.010009765625,1.275130033493042,115.3280029296875,182.94000244140625,171.39999389648438,0.7248998284339905,1.1323001384735107,1.3556748628616333,146.48500061035156,343.0899963378906,335.20001220703125,1.2765599489212036,116.33999633789062,179.1199951171875,166.34950256347656,0.7185301780700684,1.1273448467254639,1.3460761308670044,143.7165069580078,331.8699951171875,326.1199951171875,1.2667200565338135,115.29900360107422,182.6300048828125,170.43800354003906,0.7196900844573975,1.1301988363265991,1.3482794761657715,145.39599609375,339.95001220703125,334.8299865722656,1.2751400470733643,115.31600189208984,99310400.0,70726000.0,0,0,0,28400000.0,15998000.0,32674300.0,0,0
2022-01-05,172.29019165039062,164.35699462890625,0.7238802313804626,1.1283625364303589,1.353143334388733,137.61705017089844,323.5052490234375,309.5562744140625,1.2704399824142456,116.17400360107422,174.9199981689453,164.35699462890625,0.7238802313804626,1.1283625364303589,1.353143334388733,137.77499389648438,324.1700134277344,316.3800048828125,1.2704399824142456,116.17400360107422,180.1699981689453,167.12649536132812,0.7271801829338074,1.1345586776733398,1.3573309183120728,144.49949645996094,335.760009765625,326.07000732421875,1.2739200592041016,116.23500061035156,174.63999938964844,164.35699462890625,0.7223398089408875,1.1277644634246826,1.3522651195526123,137.68800354003906,323.8399963378906,315.9800109863281,1.2691099643707275,115.62699890136719,179.61000061035156,166.88299560546875,0.7241076827049255,1.1285407543182373,1.353051781654358,144.4199981689453,333.0199890136719,325.8599853515625,1.2703499794006348,116.16500091552734,94537600.0,64302000.0,0,0,0,54618000.0,20564500.0,40054300.0,0,0
2022-01-06,169.41409301757812,163.25399780273438,0.7220800518989563,1.1313496828079224,1.3555645942687988,137.58958435058594,331.7781982421875,307.1102600097656,1.2760100364685059,116.12799835205078,172.0,163.25399780273438,0.7220800518989563,1.1313496828079224,1.3555645942687988,137.74749755859375,332.4599914550781,313.8800048828125,1.2760100364685059,116.12799835205078,175.3000030517578,164.8000030517578,0.722300112247467,1.1330673694610596,1.3557482957839966,139.94000244140625,339.1700134277344,318.70001220703125,1.2813299894332886,116.17900085449219,171.63999938964844,161.93699645996094,0.7146599292755127,1.1285535097122192,1.3491089344024658,136.55850219726562,322.7200012207031,311.489990234375,1.2722599506378174,115.65399932861328,172.6999969482422,163.45050048828125,0.722300112247467,1.1312217712402344,1.355546236038208,136.99850463867188,322.82000732421875,313.1499938964844,1.2757600545883179,116.12899780273438,96904000.0,51958000.0,0,0,0,37348000.0,27962800.0,39646100.0,0,0
2022-01-07,169.58154296875,162.5540008544922,0.7162600159645081,1.1296881437301636,1.353363037109375,136.85992431640625,331.1095886230469,307.2668151855469,1.2730200290679932,115.86499786376953,172.1699981689453,162.5540008544922,0.7162600159645081,1.1296881437301636,1.353363037109375,137.01699829101562,331.7900085449219,314.0400085449219,1.2730200290679932,115.86499786376953,174.13999938964844,165.24349975585938,0.71859210729599,1.1359764337539673,1.3583449125289917,138.44850158691406,337.0,316.5,1.2729599475860596,116.02999877929688,171.02999877929688,162.031005859375,0.7131090760231018,1.1290504932403564,1.3529419898986816,135.76649475097656,328.8800048828125,310.0899963378906,1.2642600536346436,115.59100341796875,172.88999938964844,163.83900451660156,0.7163991332054138,1.129586100578308,1.3533997535705566,138.14549255371094,332.739990234375,314.1499938964844,1.2726900577545166,115.87000274658203,86709100.0,46606000.0,0,0,0,29760000.0,14722000.0,32720000.0,0,0
2022-01-10,169.60125732421875,161.48599243164062,0.7179111242294312,1.1353960037231445,1.3592311143875122,138.51052856445312,327.397216796875,307.4918212890625,1.2646900415420532,115.61799621582031,172.19000244140625,161.48599243164062,0.7179111242294312,1.1353960037231445,1.3592311143875122,138.66949462890625,328.07000732421875,314.2699890136719,1.2646900415420532,115.61799621582031,172.5,161.6614990234375,0.7205129861831665,1.1359764337539673,1.3601926565170288,138.8195037841797,328.3399963378906,314.7200012207031,1.2692899703979492,115.84200286865234,168.1699981689453,156.30450439453125,0.7149393558502197,1.1288337707519531,1.353417992591858,133.1645050048828,315.42999267578125,304.69000244140625,1.2610000371932983,115.04499816894531,169.0800018310547,160.5854949951172,0.7178699374198914,1.135344386100769,1.3590834140777588,135.0780029296875,325.30999755859375,309.489990234375,1.2645599842071533,115.62200164794922,106765600.0,87798000.0,0,0,0,44408000.0,24942400.0,44289500.0,0,0
2022-01-11,172.44778442382812,165.36199951171875,0.71809983253479,1.1330417394638062,1.3580313920974731,139.5758056640625,333.6842956542969,308.1864929199219,1.2664999961853027,115.27799987792969,175.0800018310547,165.36199951171875,0.71809983253479,1.1330417394638062,1.3580313920974731,139.73599243164062,334.3699951171875,314.9800109863281,1.2664999961853027,115.27799987792969,175.17999267578125,166.35000610351562,0.7200978994369507,1.136899709701538,1.362416386604309,140.21600341796875,334.6300048828125,316.6099853515625,1.2669199705123901,115.6760025024414,170.82000732421875,160.70150756835938,0.7155701518058777,1.1315544843673706,1.3562816381454468,136.6925048828125,325.2799987792969,309.8900146484375,1.2596999406814575,115.13700103759766,172.32000732421875,161.5,0.7181999087333679,1.1332728862762451,1.3581697940826416,138.0070037841797,326.7799987792969,313.3800048828125,1.2665300369262695,115.28299713134766,76138300.0,62806000.0,0,0,0,28730000.0,16226800.0,29386800.0,0,0
2022-01-12,172.89102172851562,165.20700073242188,0.7209799885749817,1.1366478204727173,1.3633265495300293,141.2683563232422,332.5765686035156,311.405517578125,1.2577500343322754,115.33100128173828,175.52999877929688,165.20700073242188,0.7209799885749817,1.1366478204727173,1.3633265495300293,141.4304962158203,333.260009765625,318.2699890136719,1.2577500343322754,115.33100128173828,177.17999267578125,166.8780059814453,0.7279201745986938,1.1433000564575195,1.3699380159378052,142.60800170898438,336.3699951171875,323.4100036621094,1.257889986038208,115.45899963378906,174.82000732421875,164.41700744628906,0.7200901508331299,1.1355764865875244,1.3622123003005981,140.6945037841797,330.0299987792969,317.0799865722656,1.2498600482940674,114.71499633789062,176.1199951171875,166.5749969482422,0.7212998270988464,1.1370097398757935,1.3634008169174194,141.14999389648438,335.17999267578125,319.6700134277344,1.257889986038208,115.33100128173828,74805200.0,50030000.0,0,0,0,26108000.0,14104900.0,34372200.0,0,0
